candid,round
3069386410515015007,0
3069382582215015014,0
3069388402015015013,0
3069382583515015017,0
3069386414215015010,0
3069387892715015046,0
3069383052515015018,0
3069388403815015014,0
3070411123815015010,0
3070413103915015007,0
3070410152715015010,0
3070410645415015050,0
3070411594715015002,0
3070410155015010015,0
3070410152715015027,0
3070414574115015008,0
3070412552615015021,0
3070409165215015008,0
3070411124115015013,0
3070409641915015034,0
3070411124115015020,0
3070410643715015019,0
3070410152915015009,0
3070411594615015028,0
3070410641615015051,0
3070412552515015017,0
3070413575915015033,0
3070412074515015010,0
3070414064715015005,0
3070413102715015054,0
3070410150515015030,0
3070412551315015008,0
3070413574215015021,0
3070410645015015022,0
3070413572915015003,0
3070409643215015025,0
3070414063615015016,0
3070410151215015002,0
3070412555215015027,0
3070413104315015004,0
3070417984115015023,1
3070412553215015030,1
3070411125015015041,1
3070412070215015010,1
3070416043015015020,1
3070412552815015017,1
3070412070715015000,1
3070410640115015056,1
3070418963915015013,1
3070416526315015021,1
3070412075615015029,2
3070412550615015008,2
3070412071615015035,2
3070412550115015030,2
3070417014115015024,2
3070419442415015034,2
3070413571415015007,2
3070410150415015023,2
3070420384315015019,2
3070419441815015028,2
